stage,cell,seed,depth,label,mode,status,cosine,early_layer_cosine,residual,max_state,state_distance,dual_distance,layer_count_min,layer_count_max,early_gradient_norm_ratio_min,early_gradient_norm_ratio_mean,bp_early_gradient_norm_min,R_final_0.1,R_any_final_0.1,max_gap_0.1,t0.25_threshold0.1,t0.5_threshold0.1,t0.75_threshold0.1,t0.9_threshold0.1,R_final_0.25,R_any_final_0.25,max_gap_0.25,t0.25_threshold0.25,t0.5_threshold0.25,t0.75_threshold0.25,t0.9_threshold0.25,R_final_0.5,R_any_final_0.5,max_gap_0.5,t0.25_threshold0.5,t0.5_threshold0.5,t0.75_threshold0.5,t0.9_threshold0.5,R_final_0.75,R_any_final_0.75,max_gap_0.75,t0.25_threshold0.75,t0.5_threshold0.75,t0.75_threshold0.75,t0.9_threshold0.75,paired_cosine_delta,paired_early_cosine_delta
replication,depth32_seed3,3,32,heterogeneous_rates_h1.5_seed3128,heterogeneous_rates,ok,0.15760891139507294,0.004846114665269852,10.40499210357666,4.115318298339844,13.032541275024414,36.51576847538928,1,476,0.0,6.69941729228829e-05,0.0051725925877690315,18,18,0,34.0,58.0,,,17,17,5,34.0,58.0,,,12,16,10,38.0,,,,1,12,11,38.0,,,,-0.7928598076105118,-0.8996157981455326
replication,depth32_seed3,3,32,random_coordinate_seed3128,random_coordinate,ok,0.8609564900398254,0.907185010612011,0.15393278002738953,4.112557411193848,0.37106001377105713,1.0570018312005551,50,81,0.1546061367330062,0.3787544803720602,0.0051725925877690315,28,31,3,20.0,38.0,54.0,62.0,28,28,0,24.0,44.0,62.0,64.0,20,20,0,30.0,52.0,,,3,3,0,,,,,-0.08951222896575928,0.002723097801208496
replication,depth32_seed3,3,32,random_permutation_seed3128,random_permutation,ok,0.9467926025390625,0.9052073359489441,0.13475745916366577,4.112930774688721,0.3290083706378937,0.948457989183415,64,64,0.8735227041162885,1.009390952112291,0.0051725925877690315,31,31,0,12.0,26.0,40.0,48.0,31,31,0,16.0,30.0,46.0,54.0,31,31,10,20.0,42.0,62.0,62.0,3,3,0,,,,,-0.003676116466522217,0.0007454231381416321
replication,depth32_seed3,3,32,sync,sync,ok,0.9504687190055847,0.9044619128108025,0.13542506098747253,4.112892150878906,0.0,0.0,,,0.6902030708013005,0.708198675340408,0.0051725925877690315,31,31,0,14.0,30.0,46.0,54.0,31,31,0,16.0,34.0,52.0,60.0,20,20,0,22.0,46.0,,,3,3,0,,,,,0.0,0.0
replication,depth32_seed4,4,32,bounded_staleness_tau31_seed4137,bounded_staleness,ok,0.9111862778663635,0.8955360427498817,0.13716895878314972,4.635671615600586,0.38146793842315674,0.7126964953073758,51,94,0.28036035865706843,0.4176525955481303,0.005702036898583174,31,31,0,14.0,32.0,50.0,58.0,27,27,0,16.0,38.0,56.0,,22,22,3,20.0,60.0,,,2,2,7,,,,,-0.04033792018890381,0.00748230516910553
replication,depth32_seed4,4,32,bounded_staleness_tau62_seed4137,bounded_staleness,ok,0.86570143699646,0.8974736928939819,0.16546250879764557,4.635407447814941,0.6103734374046326,1.0469496281378066,51,94,0.11545966830914693,0.2939689933898516,0.005702036898583174,29,29,0,14.0,36.0,52.0,62.0,25,25,0,16.0,38.0,58.0,,13,13,5,22.0,,,,2,2,4,,,,,-0.08582276105880737,0.009419955313205719
replication,depth32_seed4,4,32,fully_async_local_tau0_h0_seed4137,fully_async_local,ok,0.9698468446731567,0.9405677020549774,0.14502038061618805,4.635616302490234,0.5723569989204407,1.304637070105207,51,94,0.8647983572810298,1.027653653833972,0.005702036898583174,31,31,0,8.0,20.0,32.0,40.0,31,31,0,10.0,22.0,32.0,40.0,31,31,10,12.0,26.0,58.0,58.0,2,2,0,,,,,0.018322646617889404,0.0525139644742012
replication,depth32_seed4,4,32,fully_async_local_tau31_h0_seed4137,fully_async_local,ok,0.977597713470459,0.9529246389865875,0.14958491921424866,4.634748935699463,0.8422439098358154,1.1562172568524314,51,94,0.7677824619510165,0.9497981289473095,0.005702036898583174,31,31,0,8.0,20.0,34.0,40.0,31,31,2,10.0,26.0,36.0,40.0,21,31,13,10.0,32.0,,,2,2,4,,,,,0.02607351541519165,0.06487090140581131
replication,depth32_seed4,4,32,fully_async_local_tau8_h0_seed4137,fully_async_local,ok,0.9716687202453613,0.9437257051467896,0.1340521275997162,4.635427951812744,0.5899425745010376,1.2608118126670713,51,94,0.8403022579626185,1.0077039390289553,0.005702036898583174,31,31,0,8.0,20.0,32.0,40.0,31,31,0,8.0,24.0,32.0,40.0,31,31,10,12.0,26.0,54.0,54.0,3,3,0,,,,,0.020144522190093994,0.055671967566013336
replication,depth32_seed4,4,32,heterogeneous_rates_h1.5_seed4137,heterogeneous_rates,ok,0.7629477381706238,-0.09140079017379321,0.18144506216049194,4.632552623748779,1.711772084236145,3.5321965544577907,0,1209,0.0,8.876395308622916e-05,0.005702036898583174,4,4,0,,,,,3,3,0,,,,,3,3,2,,,,,0,3,3,,,,,-0.18857645988464355,-0.9794545277545694
replication,depth32_seed4,4,32,random_coordinate_seed4137,random_coordinate,ok,0.955744206905365,0.8912776112556458,0.14240141212940216,4.636185646057129,0.14955663681030273,0.4975179879350259,51,94,0.6483943218811037,0.7124397562638767,0.005702036898583174,31,31,0,12.0,26.0,40.0,50.0,31,31,2,14.0,34.0,50.0,56.0,25,25,0,18.0,46.0,64.0,,2,2,6,,,,,0.004220008850097656,0.0032238736748695374
replication,depth32_seed4,4,32,random_permutation_seed4137,random_permutation,ok,0.957489550113678,0.8931520953774452,0.11748040467500687,4.636906623840332,0.2892321050167084,0.7905771254158448,64,64,0.7703564000777131,0.8534535759047381,0.005702036898583174,31,31,0,12.0,26.0,42.0,48.0,31,31,0,16.0,32.0,46.0,54.0,31,31,0,22.0,46.0,62.0,62.0,3,3,0,,,,,0.0059653520584106445,0.005098357796669006
replication,depth32_seed4,4,32,sync,sync,ok,0.9515241980552673,0.8880537375807762,0.11730222404003143,4.636383533477783,0.0,0.0,,,0.5570265089515607,0.6055011067102596,0.005702036898583174,31,31,0,14.0,30.0,46.0,54.0,31,31,0,16.0,34.0,52.0,60.0,19,19,0,24.0,52.0,,,3,3,0,,,,,0.0,0.0
depth,depth16_seed0,0,16,bounded_staleness_tau15_seed101,bounded_staleness,ok,0.8915133476257324,0.9269933849573135,0.21784034371376038,3.9518373012542725,0.3483538031578064,0.8241322210533457,21,41,0.2528962882047278,0.3531872107047346,0.011027298867702484,15,15,0,6.0,17.0,28.0,31.0,12,12,0,11.0,19.0,31.0,,5,7,3,14.0,,,,4,4,0,29.0,,,,-0.06574279069900513,0.0010560303926467896
depth,depth16_seed0,0,16,fully_async_local_tau0_h0_seed101,fully_async_local,ok,0.9663890600204468,0.9477522373199463,0.21136482059955597,3.9515950679779053,0.5070282220840454,0.7173205654851444,21,41,0.62193984342634,0.8156276965280906,0.011027298867702484,15,15,3,5.0,17.0,20.0,23.0,15,15,2,5.0,18.0,25.0,28.0,6,15,9,13.0,19.0,,,4,4,8,31.0,,,,0.009132921695709229,0.02181488275527954
depth,depth16_seed0,0,16,fully_async_local_tau15_h0_seed101,fully_async_local,ok,0.9569830298423767,0.9553708434104919,0.33472174406051636,3.951514959335327,0.5612030625343323,0.9570776484150958,21,41,0.6741697091642377,0.9610530024338249,0.011027298867702484,15,15,3,5.0,17.0,20.0,22.0,15,15,0,5.0,17.0,26.0,30.0,6,15,9,6.0,19.0,,,3,3,0,,,,,-0.00027310848236083984,0.029433488845825195
depth,depth16_seed0,0,16,random_coordinate_seed101,random_coordinate,ok,0.9346013069152832,0.9310362040996552,0.2139281928539276,3.9519362449645996,0.26872292160987854,0.6256363038053295,21,41,0.4759158739672227,0.5146374978560704,0.011027298867702484,15,15,0,5.0,17.0,26.0,28.0,14,14,0,11.0,18.0,29.0,32.0,5,7,2,14.0,21.0,,,4,4,0,28.0,,,,-0.022654831409454346,0.005098849534988403
