source,mode,threshold,reference_steps,R_final,t0.25,t0.5,t0.75,t0.9
results/prebeam/scout/depth32_seed0,bounded_staleness_tau16_seed101,0.25,256,31,16.0,34.0,52.0,62.0
results/prebeam/scout/depth32_seed0,bounded_staleness_tau16_seed101,0.5,128,15,20.0,,,
results/prebeam/scout/depth32_seed0,bounded_staleness_tau16_seed101,0.5,256,24,18.0,36.0,60.0,
results/prebeam/scout/depth32_seed0,bounded_staleness_tau16_seed101,0.75,128,2,,,,
results/prebeam/scout/depth32_seed0,bounded_staleness_tau16_seed101,0.75,256,15,20.0,,,
results/prebeam/scout/depth32_seed0,bounded_staleness_tau31_seed101,0.1,128,31,14.0,32.0,50.0,58.0
results/prebeam/scout/depth32_seed0,bounded_staleness_tau31_seed101,0.1,256,31,12.0,32.0,48.0,58.0
results/prebeam/scout/depth32_seed0,bounded_staleness_tau31_seed101,0.25,128,28,18.0,36.0,56.0,64.0
results/prebeam/scout/depth32_seed0,bounded_staleness_tau31_seed101,0.25,256,28,16.0,34.0,54.0,64.0
results/prebeam/scout/depth32_seed0,bounded_staleness_tau31_seed101,0.5,128,14,20.0,,,
results/prebeam/scout/depth32_seed0,bounded_staleness_tau31_seed101,0.5,256,24,18.0,38.0,62.0,
results/prebeam/scout/depth32_seed0,bounded_staleness_tau31_seed101,0.75,128,3,,,,
results/prebeam/scout/depth32_seed0,bounded_staleness_tau31_seed101,0.75,256,15,20.0,,,
results/prebeam/scout/depth32_seed0,bounded_staleness_tau62_seed101,0.1,128,28,16.0,34.0,52.0,62.0
results/prebeam/scout/depth32_seed0,bounded_staleness_tau62_seed101,0.1,256,29,14.0,32.0,52.0,62.0
results/prebeam/scout/depth32_seed0,bounded_staleness_tau62_seed101,0.25,128,27,18.0,36.0,58.0,
results/prebeam/scout/depth32_seed0,bounded_staleness_tau62_seed101,0.25,256,27,16.0,34.0,56.0,
results/prebeam/scout/depth32_seed0,bounded_staleness_tau62_seed101,0.5,128,14,22.0,,,
results/prebeam/scout/depth32_seed0,bounded_staleness_tau62_seed101,0.5,256,20,18.0,40.0,,
results/prebeam/scout/depth32_seed0,bounded_staleness_tau62_seed101,0.75,128,3,,,,
results/prebeam/scout/depth32_seed0,bounded_staleness_tau62_seed101,0.75,256,14,20.0,,,
results/prebeam/scout/depth32_seed0,bounded_staleness_tau8_seed101,0.1,128,31,12.0,32.0,48.0,54.0
results/prebeam/scout/depth32_seed0,bounded_staleness_tau8_seed101,0.1,256,31,12.0,30.0,46.0,54.0
results/prebeam/scout/depth32_seed0,bounded_staleness_tau8_seed101,0.25,128,31,16.0,34.0,52.0,60.0
results/prebeam/scout/depth32_seed0,bounded_staleness_tau8_seed101,0.25,256,31,14.0,32.0,50.0,60.0
results/prebeam/scout/depth32_seed0,bounded_staleness_tau8_seed101,0.5,128,15,20.0,56.0,,
results/prebeam/scout/depth32_seed0,bounded_staleness_tau8_seed101,0.5,256,25,18.0,36.0,58.0,
results/prebeam/scout/depth32_seed0,bounded_staleness_tau8_seed101,0.75,128,2,,,,
results/prebeam/scout/depth32_seed0,bounded_staleness_tau8_seed101,0.75,256,15,20.0,52.0,,
results/prebeam/scout/depth32_seed0,forward_ordered_sweep_seed101,0.1,128,31,14.0,28.0,42.0,48.0
results/prebeam/scout/depth32_seed0,forward_ordered_sweep_seed101,0.1,256,31,12.0,26.0,40.0,48.0
results/prebeam/scout/depth32_seed0,forward_ordered_sweep_seed101,0.25,128,31,16.0,30.0,46.0,54.0
results/prebeam/scout/depth32_seed0,forward_ordered_sweep_seed101,0.25,256,31,14.0,28.0,44.0,52.0
results/prebeam/scout/depth32_seed0,forward_ordered_sweep_seed101,0.5,128,18,20.0,60.0,,
results/prebeam/scout/depth32_seed0,forward_ordered_sweep_seed101,0.5,256,31,16.0,32.0,54.0,60.0
results/prebeam/scout/depth32_seed0,forward_ordered_sweep_seed101,0.75,128,2,,,,
results/prebeam/scout/depth32_seed0,forward_ordered_sweep_seed101,0.75,256,16,18.0,60.0,,
results/prebeam/scout/depth32_seed0,fully_async_local_tau0_h0_seed101,0.1,128,31,10.0,30.0,40.0,50.0
results/prebeam/scout/depth32_seed0,fully_async_local_tau0_h0_seed101,0.1,256,31,10.0,26.0,38.0,50.0
results/prebeam/scout/depth32_seed0,fully_async_local_tau0_h0_seed101,0.25,128,31,10.0,34.0,44.0,52.0
results/prebeam/scout/depth32_seed0,fully_async_local_tau0_h0_seed101,0.25,256,31,10.0,30.0,42.0,52.0
